,ChEMBL ID,Name,SMILES,Molecular Weight,LogP,HBA,HBD,TPSA,Protein
52,CHEMBL520491,,O=C(O)c1cc(/N=C\c2cc(O)ccc2O)ccc1O,273.24,2.25,5,4,110.35,EGFR
53,CHEMBL319620,LAVENDUSTIN C,O=C(O)c1cc(NCc2cc(O)ccc2O)ccc1O,275.26,2.11,5,5,110.02,EGFR
54,CHEMBL243186,,O=Cc1cc(O)ccc1O,138.12,0.91,3,2,57.53,EGFR
55,CHEMBL704,MESALAMINE,Nc1ccc(O)c(C(=O)O)c1,153.14,0.67,3,3,83.55,EGFR
56,CHEMBL242963,,Nc1cc(C(=O)O)ccc1O,153.14,0.67,3,3,83.55,EGFR
57,CHEMBL4537790,,Cc1cc2cc(n1)-c1cnn(C)c1OCCC[C@@H](C)CN1/C(=N/C2=O)Nc2ccc(CN3CCN(C)CC3)cc21,542.69,3.77,9,1,91.12,EGFR
58,CHEMBL4566193,,Cn1ncc2c1OCCCCCN1/C(=N/C(=O)c3cc(F)nc-2c3)Nc2ccccc21,420.45,3.61,7,1,84.64,EGFR
59,CHEMBL4525935,,Cn1cc(-c2cc(C(=O)/N=c3\[nH]c4ccccc4n3CC(C)(C)O)ccn2)cn1,390.45,2.28,6,2,101.09,EGFR
60,CHEMBL3353410,OSIMERTINIB,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,499.62,4.51,8,2,87.55,EGFR
61,CHEMBL4550104,,Cc1cc2cc(n1)-c1cnn(C)c1OCCCCCN1/C(=N/C2=O)Nc2ccccc21,416.49,3.78,7,1,84.64,EGFR
62,CHEMBL4434788,,CC(C)(O)Cn1/c(=N/C(=O)c2ccnc(-c3ccccc3)c2)[nH]c2ccccc21,386.46,3.54,4,2,83.27,EGFR
63,CHEMBL4449589,,CC(C)(O)Cn1/c(=N/C(=O)c2ccnc(-c3cccnc3)c2)[nH]c2ccccc21,387.44,2.94,5,2,96.16,EGFR
64,CHEMBL4562138,,Cc1cc2cc(n1)-c1cnn(C)c1OCCC[C@@H](C)CN1/C(=N/C2=O)Nc2ccccc21,430.51,4.03,7,1,84.64,EGFR
65,CHEMBL4519157,,O=C1/N=C2\Nc3ccccc3N2CCCCCOc2ccccc2-c2cc1ccn2,398.47,4.74,5,1,66.82,EGFR
66,CHEMBL4532034,,COc1ccncc1-c1cc(C(=O)/N=c2\[nH]c3ccccc3n2CC(C)(C)O)ccn1,417.47,2.95,6,2,105.39,EGFR
